Predictor,Pre_Beta,Post_Beta,Pre_CI,Post_CI,Z_Statistic,P_Value,Significant
is_imagenet,0.23731235448425209,0.011707371513879405,0.006916521550563858,0.00485024776039922,52.34409326786589,0.0,True
is_internet_scale,0.07921586346280039,0.014626573704282332,0.011569117626302604,0.005292257629927047,9.95077508071419,0.0,True
is_transformer,-0.004359686851860313,0.007618752050002928,0.022949650893258084,0.009891806866693388,-0.9394596657791248,0.347494791496632,False
is_cnn,-0.023731248287075526,0.004025027918640229,0.022974757573219894,0.010114183538146934,-2.1672053248383536,0.030219201553465025,True
num_layers,0.005519514705903793,0.006404805723083402,0.016332236190601358,0.008102144289893216,-0.09517443830611445,0.9241762730813303,False
input_size,-0.01051447031106821,-0.005844110998899211,0.015611246626703323,0.009293955737491873,-0.5038381862899044,0.6143750910550456,False
total_params,-0.02073704637039771,-0.010023720716469887,0.016270713651762785,0.009546433644432719,-1.1131004862711715,0.26566527487510094,False
