Predictor,Pre_Beta,Post_Beta,Pre_CI,Post_CI,Z_Statistic,P_Value,Significant
is_imagenet,0.21644272379358856,0.014763375108750053,0.012797840093829548,0.018889285463627913,17.324857347433287,0.0,True
is_internet_scale,0.11152149896050392,-0.020952818941446953,0.011845472671786011,0.01548334113061124,13.318886661679427,0.0,True
is_language,0.057844566247304614,0.012029367886897022,0.011610385825531417,0.021858974776215453,3.628035538882681,0.00028558595672745213,True
is_transformer,-0.10255171724877214,-0.02420227273898999,0.017595529948548162,0.030744818968084793,-4.335075639260509,1.4571001100582848e-05,True
is_cnn,0.006349096477428829,0.04156796644756546,0.017129913782564912,0.0327371198716611,-1.8682751201923606,0.061723732691848276,False
num_layers,-0.016768574182577448,-0.036990037085474624,0.012402266955526972,0.027700450460535857,1.3058939215926206,0.19158863395429537,False
input_size,0.010289801401492863,0.034930548628494366,0.012754567882531924,0.027957565344909032,-1.5716430779142019,0.11603335010940774,False
total_params,-0.01655917572360331,-0.006008246619964303,0.012454901660646098,0.029221959587658664,-0.6510149641921004,0.5150368271784544,False
