model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.4.attn.proj_drop,0.7079335125575364,0.41114092590051293,0.12240534447050254
beitv2_base_patch16_224.in1k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.6.attn,0.7079335125575364,0.42603194277513873,0.13399437952730522
beitv2_base_patch16_224.in1k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.2,0.7079335125575364,0.41822106520933694,0.1267226557079919
beit_base_patch16_384.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.4.attn.proj_drop,0.7079335125575364,0.41813630647447064,0.11918785485406827
beit_large_patch16_224.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.9.mlp.act,0.7079335125575364,0.340641893095761,0.10953034731597802
beit_large_patch16_384.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.9.mlp.act,0.7079335125575364,0.3555842478374013,0.10469319955703614
beit_large_patch16_512.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.9.mlp.act,0.7079335125575364,0.35818741301751006,0.09678508187989893
beitv2_large_patch16_224.in1k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.6.mlp.drop1,0.7079335125575364,0.3674193942898782,0.14109972986573313
beitv2_large_patch16_224.in1k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.9.mlp.act,0.7079335125575364,0.3692311332610764,0.11726432054836208
caformer_m36.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,stages.2.blocks.1,0.7079335125575364,0.45568346659771614,0.12760813791424974
caformer_m36.sail_in22k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,stages.2.blocks.1.norm2,0.7079335125575364,0.4485988143480135,0.11517557960614094
caformer_s18.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,stages.2.downsample.conv,0.7079335125575364,0.4756150958320605,0.12960499787663643
caformer_s18.sail_in22k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,stages.2.downsample.conv,0.7079335125575364,0.48139151896432575,0.12881435608249212
caformer_s36.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,stages.2.blocks.1.norm2,0.7079335125575364,0.46927023402887935,0.11368017473122148
caformer_s36.sail_in22k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,stages.2.blocks.1.norm2,0.7079335125575364,0.4590130415928562,0.10379556010871537
cait_s24_224.fb_dist_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.18.norm2,0.7079335125575364,0.45209091582929617,0.11751781634418394
cait_xxs24_224.fb_dist_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.13,0.7079335125575364,0.45105382026956276,0.11861532345838782
cait_xxs36_224.fb_dist_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,blocks.23.norm2,0.7079335125575364,0.475686848952156,0.11502222608158857
coat_lite_medium.in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,serial_blocks3.2,0.7079335125575364,0.43566405490228904,0.15023594200297302
coat_lite_mini.in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,serial_blocks3.0.factoratt_crpe,0.7079335125575364,0.34847707113404924,0.1802080221721331
coat_lite_small.in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,serial_blocks3.1.norm2,0.7079335125575364,0.434650489837326,0.10420634587715841
coat_lite_tiny.in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,serial_blocks3.0.factoratt_crpe,0.7079335125575364,0.37157335885818416,0.19030295598438154
coat_mini.in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",211,250,serial_blocks4.1.factoratt_crpe.qkv,0.7079335125575364,0.37455248095765264,0.13604403756313224
