model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.4.attn.proj_drop,0.8657224338282781,0.49639185926572477,0.2449702349795638
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.4.attn.proj_drop,0.8657224338282781,0.4738161580150431,0.2317427811309721
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.6.attn,0.8657224338282781,0.4781080057286427,0.25028041074259544
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.4.attn.proj_drop,0.8657224338282781,0.4974647321135104,0.21660661893923078
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.8657224338282781,0.37104461638385555,0.1980864979636618
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.8657224338282781,0.40703112216297654,0.2049635679844968
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.8657224338282781,0.4171246869141658,0.17734891335545952
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.8657224338282781,0.39375436603579006,0.22332804786099655
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.8657224338282781,0.3888106458370753,0.21851321671826412
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.8657224338282781,0.5223848356550961,0.22349220619674942
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.8657224338282781,0.5284125263880122,0.23582256648172797
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.4.norm2,0.8657224338282781,0.5325039898152587,0.23521162146488647
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.0.layer_scale1,0.8657224338282781,0.55503560338828,0.21788966288936154
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.8657224338282781,0.5282584653877518,0.23763966792225116
caformer_s36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.1,0.8657224338282781,0.5548890769381473,0.23686225451442947
cait_s24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.18.norm2,0.8657224338282781,0.5244915947362775,0.24113634823205837
cait_xxs24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.18.norm2,0.8657224338282781,0.5692038004364407,0.25899374306972145
cait_xxs36_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.24.mlp.fc1,0.8657224338282781,0.5564435091995029,0.24152205238467928
coat_lite_medium.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks3.4.norm2,0.8657224338282781,0.4867395192562442,0.22224894137001663
coat_lite_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,patch_embed4,0.8657224338282781,0.38376397723420247,0.2442991287154968
coat_lite_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks3.4,0.8657224338282781,0.41929442940639416,0.2167059287193392
coat_lite_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks3.0.factoratt_crpe,0.8657224338282781,0.47114975990079816,0.2040944944721545
coat_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,crpe4.conv_list.2,0.8657224338282781,0.5087193792685573,0.2587373615189175
coat_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks4.1.factoratt_crpe.qkv,0.8657224338282781,0.5656520163680858,0.2761879638082887
coat_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks4.1.factoratt_crpe.qkv,0.8657224338282781,0.4457628303102131,0.25632458222786436
coatnet_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.4.norm1,0.8657224338282781,0.34841926247787564,0.1998880741852862
coatnet_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.0.drop_path1,0.8657224338282781,0.47146710891624594,0.20276627541385406
coatnet_bn_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.3.blocks.0.norm1,0.8657224338282781,0.3108218970414724,0.18334169992152294
coatnet_nano_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.0.attn.proj_drop,0.8657224338282781,0.36063840455583784,0.21432759026863982
coatnet_rmlp_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.2,0.8657224338282781,0.48023329631108,0.21961786703272548
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm1,0.8657224338282781,0.4637705922015229,0.2058635531926478
coatnet_rmlp_2_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm1,0.8657224338282781,0.4774014932890733,0.22345962137598505
