model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std,new_brain_score,new_brain_score_std,new_ceiling_score
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.2,0.90227588930935,0.5666847735635046,0.1522530875867289,0.5625844542061178,0.13638030095103326,0.9088520029345639
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.2,0.90227588930935,0.6121576533641038,0.1625036295835232,0.6077283092331908,0.14556219686258698,0.9088520029345639
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.2,0.90227588930935,0.575759061656551,0.1282338332154228,0.5715930841398874,0.1148651173071406,0.9088520029345639
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.2,0.90227588930935,0.6247464637279398,0.1561167043683084,0.6202260316673183,0.13984112547540373,0.9088520029345639
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.90227588930935,0.5268868151616962,0.1392432103964483,0.523074458966251,0.12472673783011624,0.9088520029345639
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.90227588930935,0.5852778572802905,0.158555562870851,0.5810430053138872,0.14202572653555812,0.9088520029345639
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.90227588930935,0.5600398013555729,0.1315532116606101,0.5559875625350995,0.117838441779573,0.9088520029345639
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.90227588930935,0.5407496869447088,0.1318321102827352,0.5368370241870043,0.11808826448348751,0.9088520029345639
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.90227588930935,0.5458485131888547,0.1394110134529965,0.5418989572289253,0.12487704697468129,0.9088520029345639
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.90227588930935,0.656500234345942,0.1444366776076645,0.651750043861574,0.1293787723633504,0.9088520029345639
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.90227588930935,0.6369590066846902,0.1428348628498591,0.6323502092247769,0.12794395102606315,0.9088520029345639
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.downsample.conv,0.90227588930935,0.6252695917531569,0.1561241117413839,0.62074537453354,0.13984776061026571,0.9088520029345639
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.downsample.conv,0.90227588930935,0.6382418075580908,0.1605042572962181,0.6336237282302004,0.14377126441860286,0.9088520029345639
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.90227588930935,0.6610442903813322,0.1699606509204944,0.656261220804756,0.1522418040236246,0.9088520029345639
caformer_s36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.90227588930935,0.6591977718484803,0.1499536457730629,0.6544280629903092,0.13432058202159924,0.9088520029345639
cait_s24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.3.norm2,0.90227588930935,0.6405956265653003,0.1747859885511228,0.6359605158822558,0.1565640874576507,0.9088520029345639
cait_xxs24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.18.norm2,0.90227588930935,0.6369074959034772,0.1818403251356312,0.6322990711563368,0.16288299081556856,0.9088520029345639
cait_xxs36_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.3,0.90227588930935,0.6488655993159741,0.1610917627771683,0.6441706501990477,0.14429752090096631,0.9088520029345639
coat_lite_medium.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks3.7,0.90227588930935,0.6092203870560229,0.1559260473938291,0.6048122958870081,0.13967034499423225,0.9088520029345639
