model_name,stimuli_name,neural_response_shape,layer_name,ceiling_score,brain_score_std,brain_score
efficientformerv2_l.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.1.mlp.fc1,0.815799356,0.016711513,0.525133956
resnet18_l2_eps0.01,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.009283675,0.539346445
resnet18_l2_eps0.03,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.010580153,0.517149845
resnet18_l2_eps0.05,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.011989451,0.522990526
pvt_v2_b2_li.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.5.mlp.dwconv,0.815799356,0.017995955,0.505845798
resnet18_l2_eps0.1,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.010427385,0.528451052
resnet18_l2_eps0.25,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.012462564,0.534559521
efficientformerv2_s0.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.0.mlp.fc1.bn.act,0.815799356,0.013701909,0.518038462
resnet18_l2_eps0.5,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.015906567,0.536758121
resnet18_l2_eps1,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.01199999,0.539924023
resnet18_l2_eps3,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.013181082,0.5172837
resnet18_l2_eps5,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.014855152,0.505038166
vit_relpos_medium_patch16_cls_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.5.norm2,0.815799356,0.014151587,0.504071311
resnet50_l2_eps0.01,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.01273325,0.524829539
pvt_v2_b2.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.5.mlp.act,0.815799356,0.01069608,0.518451445
efficientformerv2_s1.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.0.mlp.mid.bn.act,0.815799356,0.011573885,0.541460744
resnet50_l2_eps0.03,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.015488538,0.530582432
hrnet_w30.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0_3,0.815799356,0.019753487,0.512360614
resnet50_l2_eps0.05,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.013767081,0.529109807
resnet50_l2_eps0.1,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.015953332,0.531440009
volo_d5_224.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.0.mlp.fc1,0.815799356,0.014174538,0.554931292
vit_relpos_medium_patch16_rpn_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.8.mlp.act,0.815799356,0.01572427,0.524852661
resnet50_l2_eps0.25,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.016565133,0.529494463
efficientformerv2_s2.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.11.mlp.mid.bn.act,0.815799356,0.011594729,0.527869581
resnet50_l2_eps0.5,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.01507509,0.534560195
pvt_v2_b3.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.12.norm1,0.815799356,0.014292258,0.521897121
efficientnet_b0.ra_in1k,MajajHong2015public,"(3200, 168)",blocks.5.0.bn2.act,0.815799356,0.010886154,0.521004263
resnet50_l2_eps1,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.014692847,0.529992711
volo_d1_224.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.4.norm1,0.815799356,0.011341953,0.538346214
vit_relpos_small_patch16_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.9,0.815799356,0.016565935,0.498327621
efficientnet_es_pruned.in1k,MajajHong2015public,"(3200, 168)",blocks.4.2.bn2.drop,0.815799356,0.008318932,0.530005289
resnet50_l2_eps3,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.01798006,0.515336997
efficientnet_es.ra_in1k,MajajHong2015public,"(3200, 168)",blocks.4.2.bn2.drop,0.815799356,0.011004332,0.540760671
resnet50_l2_eps5,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.017344315,0.498902173
efficientnet_lite0.ra_in1k,MajajHong2015public,"(3200, 168)",blocks.5.3.bn2.drop,0.815799356,0.009279248,0.538208031
volo_d2_224.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.9.norm2,0.815799356,0.01137228,0.541521049
pvt_v2_b4.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.15.norm2,0.815799356,0.015414558,0.515723154
hrnet_w32.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0_3,0.815799356,0.012321004,0.513513438
xcit_medium_24_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.17.norm3,0.815799356,0.014284107,0.527322252
xcit_nano_12_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.6,0.815799356,0.019023077,0.455802426
xcit_small_12_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.9.local_mp,0.815799356,0.013282996,0.509202055
pvt_v2_b5.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.22.norm2,0.815799356,0.01428747,0.517230501
hrnet_w40.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0_3,0.815799356,0.010968798,0.519807344
regnetx_004_tv.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b7.conv1.bn.drop,0.815799356,0.013919472,0.504426557
xcit_small_24_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.17.norm3,0.815799356,0.014547307,0.526437489
regnetx_008.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv2.bn,0.815799356,0.011511183,0.516978836
xcit_tiny_12_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.6,0.815799356,0.013039898,0.489597362
regnetx_016.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv2.bn,0.815799356,0.011612278,0.541597887
regnety_004.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv1.bn,0.815799356,0.015859457,0.500584483
hrnet_w44.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0_3,0.815799356,0.015973275,0.527932484
xcit_tiny_24_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.12.mlp.drop1,0.815799356,0.013723672,0.511916588
regnety_008_tv.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv1.bn,0.815799356,0.01447358,0.51052844
regnety_016.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv1.bn,0.815799356,0.009722653,0.511952254
