model_name,stimuli_name,neural_response_shape,layer_name,ceiling_score,brain_score_std,brain_score
vit_base_patch16_224_miil.in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.011768743,0.519649937
mobilenetv3_large_100.miil_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.5.2.bn1.act,0.815799356,0.010661067,0.519482972
repvgg_b1g4.rvgg_in1k,MajajHong2015public,"(3200, 168)",stages.2.12.act,0.815799356,0.010773138,0.536903269
convmixer_768_32.in1k,MajajHong2015public,"(3200, 168)",blocks.27.0,0.815799356,0.010547374,0.531345846
tresnet_l.miil_in1k,MajajHong2015public,"(3200, 168)",body.layer4.2,0.815799356,0.008240478,0.494313381
vit_base_patch16_224.augreg_in1k,MajajHong2015public,"(3200, 168)",blocks.9.attn.qkv,0.815799356,0.015241705,0.515609644
mobilenetv3_large_100.ra_in1k,MajajHong2015public,"(3200, 168)",blocks.5.2.bn1.act,0.815799356,0.013489124,0.522062948
swin_base_patch4_window7_224.ms_in22k_ft_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.6.mlp.act,0.815799356,0.015925367,0.535451278
davit_base.msft_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.4.0.mlp.drop1,0.815799356,0.011688347,0.532297331
repvgg_b2.rvgg_in1k,MajajHong2015public,"(3200, 168)",stages.2.12.act,0.815799356,0.013131559,0.54589081
mobilenetv3_rw.rmsp_in1k,MajajHong2015public,"(3200, 168)",blocks.5.2.bn1.act,0.815799356,0.01603895,0.529068273
focalnet_small_srf.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.15.modulation.focal_layers.1,0.815799356,0.013484846,0.519905222
vit_base_patch16_224.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.01858039,0.511151234
tresnet_m.miil_in1k,MajajHong2015public,"(3200, 168)",body.layer4.0,0.815799356,0.008681269,0.517366495
mobilenetv3_small_075.lamb_in1k,MajajHong2015public,"(3200, 168)",blocks.4.1.conv_dw,0.815799356,0.015110523,0.530341648
davit_small.msft_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.4.0.mlp.drop1,0.815799356,0.01403447,0.528345431
vit_base_patch16_224.augreg2_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.016648898,0.484609275
mobilenetv3_small_100.lamb_in1k,MajajHong2015public,"(3200, 168)",blocks.4.1.conv_dw,0.815799356,0.01532752,0.544633915
davit_tiny.msft_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.0.0.attn.qkv,0.815799356,0.013146771,0.534955066
repvgg_b2g4.rvgg_in1k,MajajHong2015public,"(3200, 168)",stages.2.10,0.815799356,0.008351339,0.531128976
swin_s3_base_224.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.15.norm2,0.815799356,0.014770283,0.534669928
deit_base_distilled_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.11.norm2,0.815799356,0.010865913,0.531436397
tresnet_m.miil_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",body.layer4.0.act,0.815799356,0.012027205,0.524558006
focalnet_tiny_srf.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.5.modulation.focal_layers.1,0.815799356,0.012590032,0.537530676
vit_base_patch16_224.orig_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.013072607,0.517820076
deit_base_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.9.attn.qkv,0.815799356,0.012034033,0.517256537
deit_small_distilled_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.11.norm2,0.815799356,0.007201666,0.495279748
mvitv2_base.fb_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.14.norm2,0.815799356,0.015299369,0.51473972
deit_small_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.11.norm2,0.815799356,0.012027913,0.497713378
vit_base_patch16_224.sam_in1k,MajajHong2015public,"(3200, 168)",blocks.11.norm2,0.815799356,0.007525648,0.539487207
repvgg_b3g4.rvgg_in1k,MajajHong2015public,"(3200, 168)",stages.2.10,0.815799356,0.010168042,0.537919908
deit_tiny_distilled_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.11.norm2,0.815799356,0.011922197,0.468717541
swin_s3_small_224.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.14.norm1,0.815799356,0.013884555,0.523245657
deit_tiny_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.9.attn.qkv,0.815799356,0.012023535,0.454423522
vit_base_patch16_rpn_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.10.attn.qkv,0.815799356,0.009834749,0.527918706
