model_name,SanghaviJozwik2020.V4-pls,Sanghavi2020.V4-pls,SanghaviMurty2020.V4-pls,MajajHong2015.V4-pls,ImageNet-top1,new_brain_score,new_brain_score_average
alexnet_linf_8_robust,0.371,0.464,0.159,0.483,0.283,0.483,0.36925
resnet-18-LC_m,0.421,0.604,0.198,0.575,X,0.575,0.4495
resnet50_imagenet_1_seed-0,0.198,0.335,0.065,0.339,0.005,0.339,0.23425
ViT-B/32,0.485,0.621,0.23,0.549,X,0.549,0.47125
alexnet_early_checkpoint,0.411,0.579,0.148,0.574,0.5,0.574,0.428
densenet_201_pytorch,X,X,X,X,0.722,X,#DIV/0!
resnet-18-LC_1st_conv_m,0.375,0.605,0.227,0.595,X,0.595,0.4505
resnet-18-LC_conv_init_m,0.36,0.592,0.187,0.564,X,0.564,0.42575
mobilenet_v1_1.0_160,0.481,0.638,0.195,0.588,0.68,0.588,0.4755
deit_small_imagenet_10_seed-0,0.055,0.175,0.027,0.154,0.002,0.154,0.10275
mobilenet_v1_1.0_224,0.483,0.632,0.203,0.56,0.709,0.56,0.4695
resnet-18,0.47,0.632,0.201,0.583,0.698,0.583,0.4715
mobilenet_v1_0.75_224,0.479,0.612,0.212,0.558,0.684,0.558,0.46525
mobilenet_v2_0.5_128,0.441,0.601,0.204,0.557,0.577,0.557,0.45075
CORnet-Z,0.446,0.606,0.209,0.553,0.47,0.553,0.4535
0.5x_resnet-18,0.455,0.614,0.203,0.564,X,0.564,0.459
0.5x_resnet-18_LC_w_sh_100_iter,0.451,0.623,0.212,0.583,X,0.583,0.46725
RN50,0.448,0.602,0.177,0.548,X,0.548,0.44375
resnet-34,0.424,0.604,0.207,0.56,0.733,0.56,0.44875
mobilenet_v1_1.0_192,0.479,0.618,0.204,0.548,0.7,0.548,0.46225
0.5x_resnet-18_LC,0.415,0.593,0.216,0.568,X,0.568,0.448
r3m_resnet18,0.408,0.584,0.171,0.559,X,0.559,0.4305
mobilenet_v1_0.75_192,0.465,0.613,0.202,0.549,0.672,0.549,0.45725
AT_efficientnet-b7,0.483,0.642,0.215,0.583,,0.583,0.48075
mobilenet_v1_0.5_224,0.47,0.599,0.189,0.555,0.633,0.555,0.45325
mobilenet_v1_1.0_128,0.479,0.614,0.193,0.557,0.652,0.557,0.46075
mobilenet_v1_0.5_192,0.477,0.604,0.187,0.566,0.617,0.566,0.4585
mobilenet_v1_0.75_128,0.488,0.621,0.205,0.564,0.621,0.564,0.4695
mobilenet_v1_0.75_160,0.479,0.618,0.189,0.558,0.653,0.558,0.461
alexnet,0.438,0.617,0.17,0.55,0.577,0.55,0.44375
mobilenet_v1_0.25_128,0.442,0.52,0.168,0.513,0.415,0.513,0.41075
r3m_resnet50,0.406,0.552,0.179,0.516,X,0.516,0.41325
mobilenet_v2_0.35_192,0.421,0.581,0.185,0.568,0.582,0.568,0.43875
r3m_resnet34,0.404,0.581,0.15,0.557,X,0.557,0.423
vggface,0.367,0.55,0.162,0.555,X,0.555,0.4085
mobilenet_v1_0.5_160,0.471,0.593,0.175,0.557,0.591,0.557,0.449
yudixie_resnet50_imagenet1kpret_0_240312,0.51,0.656,X,0.602,X,0.602,0.5893333333
resnet50,0.406,0.554,0.163,0.541,X,0.541,0.416
fulltest_microblockvf_nobottleneck_freeat_nopretrain_eps2_m4,0.489,0.585,0.221,0.538,X,0.538,0.45825
mobilenet_v2_0.35_160,0.419,0.559,0.199,0.554,0.557,0.554,0.43275
resnet18-supervised,0.457,0.597,0.185,0.539,X,0.539,0.4445
mobilenet_v1_0.5_128,0.48,0.589,0.199,0.55,0.563,0.55,0.4545
squeezenet1_1,0.437,0.602,0.187,0.582,0.575,0.582,0.452
mobilenet_v2_0.5_96,0.43,0.566,0.158,0.501,0.512,0.501,0.41375
mobilenet_v1_0.25_192,0.461,0.569,0.19,0.517,0.477,0.517,0.43425
mobilenet_v1_0.25_224,0.464,0.6,0.196,0.538,0.498,0.538,0.4495
pnasnet_large_pytorch,X,X,X,X,0.64,X,#DIV/0!
mobilenet_v2_0.35_128,0.394,0.514,0.169,0.53,0.508,0.53,0.40175
squeezenet1_0,0.441,0.608,0.186,0.591,0.575,0.591,0.4565
inception_v3_pytorch,X,X,X,X,0.732,X,#DIV/0!
mobilenet_v1_0.25_160,0.443,0.561,0.178,0.509,0.455,0.509,0.42275
RN50,0.462,0.621,0.247,0.588,X,0.588,0.4795
convnext_small_imagenet_1_seed-0,0.036,0.104,0.031,0.073,0.001,0.073,0.061
mobilenet_v2_0.35_96,0.419,0.536,0.159,0.501,0.455,0.501,0.40375
resnet18-local_aggregation,0.444,0.625,0.209,0.563,X,0.563,0.46025
r3m_resnet50_nocrop,X,0.539,0.176,0.494,X,0.494,0.403
resnet18-instance_recognition,0.446,0.617,0.218,0.548,X,0.548,0.45725
pnasnet_large,X,X,X,X,X,X,#DIV/0!
CORnetZ_CIFAR10,0.277,0.392,0.108,0.454,X,0.454,0.30775
resnet50_FractalDB,0.193,0.369,0.094,0.342,,0.342,0.2495
my-model,0.347,0.519,0.197,0.519,X,0.519,0.3955
resnet18-contrastive_multiview,0.424,0.601,0.192,0.551,X,0.551,0.442
v1-pyr-nodown,0.244,0.407,0.116,0.43,,0.43,0.29925
hmax,0.224,X,0.083,0.179,X,0.179,0.162
resnet18-colorization,0.436,0.651,0.185,0.568,X,0.568,0.46
resnet50-meshes-lt-100-original-pretrained,0.315,0.403,0.148,0.473,0.001,0.473,0.33475
resnet18-deepcluster,0.405,0.587,0.208,0.545,X,0.545,0.43625
resnet50-cifar,0.392,0.471,0.114,0.432,,0.432,0.35225
deit_small_imagenet_1_seed-0,0.038,0.114,0.021,0.078,0.001,0.078,0.06275
resnet18-relative_position,0.43,0.604,0.208,0.544,X,0.544,0.4465
resnet-50_untrained,0.25,0.368,0.095,0.436,0.001,0.436,0.28725
resnet-18_untrained,0.245,0.369,0.089,0.431,X,0.431,0.2835
resnet18-depth_prediction,0.38,0.498,0.16,0.509,X,0.509,0.38675
resnet-50x2_untrained,0.27,0.361,0.094,0.42,,0.42,0.28625
resnet50-meshes-lt-100-original-scratch,0.308,0.388,0.135,0.466,0.001,0.466,0.32425
bagnet9,,,,0.55,0.26,0.55,0.55
