model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.2,0.7233559120132377,0.40994442167825496,0.08993446250931704
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.2,0.7233559120132377,0.40344624301068266,0.07274693272785061
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.2,0.7233559120132377,0.40704441672736585,0.09106488051722123
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.2,0.7233559120132377,0.3908149926221456,0.06802785637398047
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.6.mlp.drop1,0.7233559120132377,0.3648955576622536,0.06381604843912475
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.6.mlp.drop1,0.7233559120132377,0.36496160552251117,0.0708022017349541
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.6.mlp.drop1,0.7233559120132377,0.3615047020299295,0.04638791111467757
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.6.mlp.drop1,0.7233559120132377,0.3504243973099059,0.06832709653599627
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.9.mlp.act,0.7233559120132377,0.35416940723734713,0.06895161963215082
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.0.blocks.1.token_mixer.pwconv2,0.7233559120132377,0.4207747223004869,0.06120784051232371
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.2.blocks.1,0.7233559120132377,0.4249324618935645,0.06793717187062688
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.1.blocks.1.norm1,0.7233559120132377,0.4170772274172451,0.07671947848753596
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.2.downsample.conv,0.7233559120132377,0.41440785161309807,0.07625835400672121
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.1.blocks.7.token_mixer.act2,0.7233559120132377,0.4159099621070292,0.044622055727679064
caformer_s36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.1.blocks.9.drop_path1,0.7233559120132377,0.4110221256661386,0.07739080349610418
cait_s24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.12.attn.proj_drop,0.7233559120132377,0.4303933617909824,0.0785660415383439
cait_xxs24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.0.mlp.drop1,0.7233559120132377,0.4096597091914734,0.0796892699809069
cait_xxs36_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.4.mlp.fc1,0.7233559120132377,0.4105902311766428,0.05519074796265395
coat_lite_medium.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,serial_blocks3.2,0.7233559120132377,0.4062915186544518,0.0699747643330417
coat_lite_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,serial_blocks2.0.mlp.drop2,0.7233559120132377,0.4020602949074926,0.0854884141853439
coat_lite_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,serial_blocks3.1.norm2,0.7233559120132377,0.40723175880519075,0.06144281688660611
coat_lite_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,serial_blocks2.0.factoratt_crpe.proj,0.7233559120132377,0.40751391729487463,0.08329732428960368
coat_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,serial_blocks1.0.norm2,0.7233559120132377,0.38502825032615895,0.05004614341419121
coat_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,serial_blocks1.0.norm2,0.7233559120132377,0.40677350612158375,0.0655411138308353
coat_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,serial_blocks3.0.factoratt_crpe,0.7233559120132377,0.4094985575439964,0.0786470711455496
coatnet_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.1.blocks.1.pre_norm.act,0.7233559120132377,0.41736652698404986,0.0625675770297091
coatnet_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.0.blocks.0.norm2.drop,0.7233559120132377,0.42579568559620073,0.04860107904580813
coatnet_bn_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.0.blocks.0,0.7233559120132377,0.4083765183064289,0.05682293991261159
coatnet_nano_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.1.blocks.2.conv2_kxk,0.7233559120132377,0.4349524965778989,0.054904662697743536
coatnet_rmlp_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.2.blocks.3.norm1,0.7233559120132377,0.42061518990670316,0.07294310736290015
