model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.4.attn.proj_drop,0.8262927935355924,0.4473969315186355,0.1626003302244631
beitv2_base_patch16_224.in1k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.2,0.8262927935355924,0.43304556913275527,0.160512406413726
beitv2_base_patch16_224.in1k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.2,0.8262927935355924,0.4266969138945352,0.15624968504737977
beit_base_patch16_384.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.1.drop_path1,0.8262927935355924,0.5206073394622888,0.13562176790083166
beit_large_patch16_224.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.9.mlp.act,0.8262927935355924,0.37742118136351294,0.16914421044304645
beit_large_patch16_384.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.9.norm1,0.8262927935355924,0.43985740082547736,0.1628794186119407
beit_large_patch16_512.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.9.mlp.act,0.8262927935355924,0.4327648977982476,0.12939878082644463
beitv2_large_patch16_224.in1k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.9.mlp.act,0.8262927935355924,0.41306586189299865,0.1595687667747106
beitv2_large_patch16_224.in1k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,blocks.6.mlp.drop1,0.8262927935355924,0.412820134790772,0.15770020463729534
caformer_m36.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,stages.2.blocks.1.norm2,0.8262927935355924,0.5321681289924393,0.13833155034679687
caformer_m36.sail_in22k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,stages.2.blocks.1.norm2,0.8262927935355924,0.5423115113359156,0.13912687455366854
caformer_s18.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,stages.2.downsample.conv,0.8262927935355924,0.5353490958128431,0.1419799274314775
caformer_s18.sail_in22k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,stages.2.downsample.conv,0.8262927935355924,0.5437173567819855,0.129800392454886
caformer_s36.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",51,90,stages.2.blocks.1,0.8262927935355924,0.5404145897991731,0.13657565541405242
