model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.4.attn.proj_drop,0.75780248893678,0.3724491274881337,0.1386788634339083
beitv2_base_patch16_224.in1k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.4.attn.proj_drop,0.75780248893678,0.3976125364104855,0.15344079614766232
beitv2_base_patch16_224.in1k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.4.attn.proj_drop,0.75780248893678,0.3571024568821994,0.15761017862834326
beit_base_patch16_384.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.4.attn.proj_drop,0.75780248893678,0.4407250283487699,0.13498754311652866
beit_large_patch16_224.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.9.mlp.act,0.75780248893678,0.3217835666764779,0.11990347187449121
beit_large_patch16_384.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.9.mlp.act,0.75780248893678,0.3521387512319292,0.1193864854932067
beit_large_patch16_512.in22k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.8.norm2,0.75780248893678,0.34670860488996036,0.1152905888906458
beitv2_large_patch16_224.in1k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.9.mlp.act,0.75780248893678,0.3268579836345408,0.12502795018449053
beitv2_large_patch16_224.in1k_ft_in22k_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,blocks.9.mlp.act,0.75780248893678,0.33139817960966417,0.13041077881206253
caformer_m36.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,stages.1,0.75780248893678,0.4288054831306052,0.15314078469723177
caformer_m36.sail_in22k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,stages.2.blocks.1.norm2,0.75780248893678,0.41882091854603026,0.14687486029066218
caformer_s18.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,stages.2.downsample.conv,0.75780248893678,0.4388114784659559,0.1418996627654993
caformer_s18.sail_in22k_ft_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,stages.2.downsample.conv,0.75780248893678,0.4416719190781006,0.12387783806665933
caformer_s36.sail_in1k,george_posterior_it,"(14, 3, 224, 224)","(14, 17, 17, 32)",171,210,stages.2.blocks.1.norm2,0.75780248893678,0.443329119491087,0.13596199274749773
