model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.2,0.9022758893093499,0.5666847735635046,0.1522530875867289
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.2,0.9022758893093499,0.6121576533641038,0.16250362958352324
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.2,0.9022758893093499,0.575759061656551,0.1282338332154228
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.2,0.9022758893093499,0.6247464637279398,0.15611670436830843
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.9022758893093499,0.5268868151616962,0.1392432103964483
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.9022758893093499,0.5852778572802905,0.15855556287085104
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.9022758893093499,0.5600398013555729,0.13155321166061013
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.9022758893093499,0.5407496869447088,0.1318321102827352
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.9.mlp.act,0.9022758893093499,0.5458485131888547,0.1394110134529965
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.9022758893093499,0.656500234345942,0.1444366776076645
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.9022758893093499,0.6369590066846902,0.1428348628498591
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.downsample.conv,0.9022758893093499,0.6252695917531569,0.15612411174138394
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.downsample.conv,0.9022758893093499,0.6382418075580908,0.16050425729621812
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.9022758893093499,0.6610442903813322,0.16996065092049442
caformer_s36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm2,0.9022758893093499,0.6591977718484803,0.14995364577306292
cait_s24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.3.norm2,0.9022758893093499,0.6405956265653003,0.17478598855112282
cait_xxs24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.18.norm2,0.9022758893093499,0.6369074959034772,0.18184032513563123
cait_xxs36_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,blocks.3,0.9022758893093499,0.6488655993159741,0.16109176277716833
coat_lite_medium.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks3.7,0.9022758893093499,0.6092203870560229,0.15592604739382912
coat_lite_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,cpe4.proj,0.9022758893093499,0.45465112661160145,0.19247417110044393
coat_lite_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks3.1.norm2,0.9022758893093499,0.5764117693553293,0.12699104497783453
coat_lite_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks3.0.factoratt_crpe,0.9022758893093499,0.5094709912524131,0.11382443180715261
coat_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,crpe4.conv_list.2,0.9022758893093499,0.5719882924282992,0.21641889673976042
coat_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,serial_blocks4.1.factoratt_crpe.qkv,0.9022758893093499,0.5857255975664643,0.18971773372270684
coat_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,crpe4.conv_list.2,0.9022758893093499,0.5568793414534171,0.23655304068957042
coatnet_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.3.norm1,0.9022758893093499,0.6527324263919543,0.15301909227391292
coatnet_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.4,0.9022758893093499,0.6603586916123345,0.1608001959037987
coatnet_bn_0_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.0.shortcut.pool,0.9022758893093499,0.49360494860702814,0.10286861300190671
coatnet_nano_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.attn.proj_drop,0.9022758893093499,0.5518277096724049,0.13800772202228082
coatnet_rmlp_1_rw_224.sw_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.2,0.9022758893093499,0.6687058118979992,0.1527314901176444
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",171,210,stages.2.blocks.1.norm1,0.9022758893093499,0.6402710411690176,0.14865658658579692
