model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std,new_brain_score,new_brain_score_std,new_ceiling_score
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.2,0.7233559120132377,0.4099444216782549,0.089934462509317,0.3867738443048203,0.061377655429504685,0.7666902128575959
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.2,0.7233559120132377,0.4034462430106826,0.0727469327278506,0.3806429509170111,0.04964766615534956,0.7666902128575959
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.2,0.7233559120132377,0.4070444167273658,0.0910648805172212,0.38403775130283113,0.06214913284811119,0.7666902128575959
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.2,0.7233559120132377,0.3908149926221456,0.0680278563739804,0.3687256347814458,0.04642703377136926,0.7666902128575959
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.6.mlp.drop1,0.7233559120132377,0.3648955576622536,0.0638160484391247,0.3442711990786611,0.043552597332345164,0.7666902128575959
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.6.mlp.drop1,0.7233559120132377,0.3649616055225111,0.0708022017349541,0.3443335138302933,0.048320443804154505,0.7666902128575959
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.6.mlp.drop1,0.7233559120132377,0.3615047020299295,0.0463879111146775,0.34107199889677403,0.031658400406809624,0.7666902128575959
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.6.mlp.drop1,0.7233559120132377,0.3504243973099059,0.0683270965359962,0.33061796701828705,0.04663125648024432,0.7666902128575959
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,blocks.9.mlp.act,0.7233559120132377,0.3541694072373471,0.0689516196321508,0.33415130424645645,0.04705747533266225,0.7666902128575959
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",51,90,stages.0.blocks.1.token_mixer.pwconv2,0.7233559120132377,0.4207747223004869,0.0612078405123237,0.39699200263342715,0.041772571267219026,0.7666902128575959
