model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std,new_brain_score,new_brain_score_std,new_ceiling_score
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.1.drop_path1,0.8789925863194138,0.5309779811835698,0.1804007697335503,0.5225083597516188,0.15604157660394852,0.89324065395063
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.4.attn.proj_drop,0.8789925863194138,0.573159682626212,0.1660614423515893,0.5640172215375611,0.1436384629397099,0.89324065395063
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.4.attn.proj_drop,0.8789925863194138,0.5458577425258045,0.134205149357417,0.5371507742545636,0.11608366818517571,0.89324065395063
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.2,0.8789925863194138,0.5785604288397571,0.1804272503956119,0.5693318205331429,0.1560644816295962,0.89324065395063
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8789925863194138,0.480929247107647,0.1400913850036958,0.4732579522462754,0.12117509596491476,0.89324065395063
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8789925863194138,0.5248208196607782,0.1645383261825818,0.516449411015499,0.14232101042155307,0.89324065395063
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8789925863194138,0.4929865863808778,0.1502218272036888,0.4851229650902761,0.12993764268196512,0.89324065395063
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8789925863194138,0.4994568109103652,0.1513630712808469,0.49148998316999254,0.13092478661351648,0.89324065395063
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,blocks.9.mlp.act,0.8789925863194138,0.503558773677425,0.1491687085675029,0.49552651559342964,0.12902672477078234,0.89324065395063
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,stages.2.blocks.1.norm2,0.8789925863194138,0.5980711006974585,0.157179043990762,0.5885312779707106,0.13595543893546114,0.89324065395063
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",131,170,stages.2.blocks.1,0.8789925863194138,0.6011679181353746,0.1681470982731769,0.5915786981223503,0.14544249647425952,0.89324065395063
