model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
coatnet_rmlp_2_rw_224.sw_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.2.blocks.6.norm1,0.7519179283171428,0.4981709122893986,0.3201705295835224
coatnet_rmlp_nano_rw_224.sw_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.2.blocks.3.drop_path1,0.7519179283171428,0.5031780225158585,0.3347209025234958
convit_base.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.8.norm2,0.7519179283171428,0.4802307993590465,0.3510240429315722
convit_small.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.7.attn.proj_drop,0.7519179283171428,0.4932299386222828,0.3921923627050419
convit_tiny.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.5.attn.v,0.7519179283171428,0.4505397920840872,0.3361656113577489
convmixer_1024_20_ks9_p14.in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.13.2,0.7519179283171428,0.4277487882020458,0.2889525512511125
convmixer_1536_20.in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.14.3,0.7519179283171428,0.4237059363494593,0.335745155351487
convmixer_768_32.in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.19.0.fn.0,0.7519179283171428,0.4633592471292708,0.3163007272115983
davit_base.msft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.2.blocks.2.1.cpe1.act,0.7519179283171428,0.4855991759791456,0.3705957952044852
davit_small.msft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.2.blocks.3.0.cpe2.proj,0.7519179283171428,0.4900661867334995,0.3550159155450239
davit_tiny.msft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.3.downsample.norm,0.7519179283171428,0.4653350776898572,0.3229598633345938
deit_base_distilled_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.7.attn.k_norm,0.7519179283171428,0.4624168154624741,0.3530056111161224
deit_base_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.5.attn.proj,0.7519179283171428,0.5023882261386625,0.3726567263746607
deit_small_distilled_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.7.attn.k_norm,0.7519179283171428,0.452276312827384,0.3117747074499412
deit_small_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.3.ls1,0.7519179283171428,0.4335030425154136,0.3226080279246178
deit_tiny_distilled_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.1.norm1,0.7519179283171428,0.4049598231241522,0.3154965799869021
deit_tiny_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.7.attn.k_norm,0.7519179283171428,0.421078684361522,0.3124174741593262
deit3_base_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.8.attn.q_norm,0.7519179283171428,0.4512597473341221,0.3237650343391161
deit3_base_patch16_224.fb_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.4.attn.proj_drop,0.7519179283171428,0.473928969186379,0.3705551074679928
deit3_medium_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.7.attn.k_norm,0.7519179283171428,0.4283117357193302,0.3234078821594175
deit3_medium_patch16_224.fb_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.4.attn.proj_drop,0.7519179283171428,0.4145295146558461,0.3572509948451629
deit3_small_patch16_224.fb_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.7.attn.k_norm,0.7519179283171428,0.4611219174823509,0.2973373913718792
deit3_small_patch16_224.fb_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,blocks.5.attn.proj,0.7519179283171428,0.4528848069672583,0.344323081700032
densenet121.tv_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.denseblock3.denselayer11.norm2.drop,0.7519179283171428,0.4336517721146621,0.3528938715769432
densenet161.tv_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.denseblock4.denselayer12.norm2.drop,0.7519179283171428,0.4228330227919764,0.3495165303122969
densenet169.tv_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.denseblock4.denselayer4.conv1,0.7519179283171428,0.4443884936229825,0.3078578077119458
densenet201.tv_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.denseblock3.denselayer16.norm1,0.7519179283171428,0.4452690705357583,0.2945453109543304
dla102.in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,level4.tree2.tree2.tree2.tree2.bn2,0.7519179283171428,0.4819324894886024,0.3272333819303981
dla169.in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,level4.tree2.tree1.tree2.tree1.tree2.bn2,0.7519179283171428,0.4442552323800218,0.3371932739998309
dla34.in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,level5.tree1.bn2,0.7519179283171428,0.4835163980649924,0.3397201861962439
dla46_c.in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,level4.tree2.tree2.bn2,0.7519179283171428,0.4528568991957771,0.3007316106906099
dla60.in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,level4.tree2.tree2.tree2,0.7519179283171428,0.4629244478898252,0.3491850790278552
