model,top1,multi_label_acc,param_count,type1,type2,img_size,time,spearman,spearman_std
wide_resnet50_2_linf_eps1.0,74.65,0.8403,68.88,adv,linf,224,2793.535514,0.507673875,0.047717888
wide_resnet50_2_linf_eps2.0,72.35,0.8158,68.88,adv,linf,224,2808.61027,0.480919962,0.045688377
wide_resnet50_2_linf_eps4.0,68.41,0.7716,68.88,adv,linf,224,2795.942502,0.43486612,0.042641655
wide_resnet50_2_linf_eps8.0,60.82,0.6885,68.88,adv,linf,224,2794.098093,0.239753045,0.02668512
xcit_medium_24_p8_224.fb_in1k,83.748,0.9248,84.32,vit,none,224,4308.482305,0.021068932,0.098337293
xcit_nano_12_p8_224.fb_in1k,73.916,0.8297,3.05,vit,none,224,1965.37613,0.126280789,0.106403291
xcit_small_12_p8_224.fb_in1k,83.332,0.9213,26.21,vit,none,224,2458.732715,-0.003508011,0.10354436
xcit_small_24_p8_224.fb_in1k,83.834,0.9264,47.63,vit,none,224,3330.860668,0.02054714,0.102040888
xcit_tiny_12_p8_224.fb_in1k,79.688,0.8921,6.71,vit,none,224,1890.505299,0.011501765,0.109463583
xcit_tiny_24_p8_224.fb_in1k,81.892,0.9077,12.11,vit,none,224,2250.656821,0.06152437,0.106252816
