model,top1,multi_label_acc,param_count,type1,type2,img_size,time,spearman,spearman_std
repvgg_b3g4.rvgg_in1k,80.216,0.8934,83.83,cnn,none,224,2103.055945,0.387687633,0.101647782
res2net50_14w_8s.in1k,78.158,0.8734,25.06,cnn,none,224,1988.974518,0.249321289,0.094289771
res2net50_26w_4s.in1k,77.95,0.8729,25.7,cnn,none,224,1918.604165,0.24011862,0.097404466
res2net50_26w_6s.in1k,78.568,0.8769,37.05,cnn,none,224,1893.045932,0.209202087,0.095434739
res2net50_26w_8s.in1k,78.942,0.8828,48.4,cnn,none,224,1993.120606,0.202542663,0.096610746
res2net50_48w_2s.in1k,77.514,0.8667,25.29,cnn,none,224,1800.546455,0.293441813,0.098350308
resnest50d_1s4x24d.in1k,80.988,0.9,25.68,hybrid,none,224,1821.861742,0.211733692,0.094864425
resnest50d_4s2x40d.in1k,81.12,0.9011,30.42,hybrid,none,224,1883.089612,0.196407116,0.093217977
resnest50d.in1k,80.964,0.8963,27.48,hybrid,none,224,1925.931848,0.197198548,0.091531806
resnet101.a3_in1k,79.814,0.8708,44.55,cnn,none,160,1410.39952,0.280056889,0.073324682
resnet10t.c3_in1k,68.358,0.7515,5.44,cnn,none,176,847.9486382,0.327438007,0.064969261
resnet14t.c3_in1k,72.254,0.8018,10.08,cnn,none,176,902.1614439,0.259241492,0.067754931
resnet152.a3_in1k,80.546,0.879,60.19,cnn,none,160,1437.393182,0.271152792,0.073842137
resnet18_l2_eps0.01,69.9,0.7857,11.69,adv,l2,224,3057.875182,0.42709631,0.092197553
resnet18_l2_eps0.03,69.24,0.7799,11.69,adv,l2,224,3013.058098,0.455064326,0.093436493
resnet18_l2_eps0.05,69.15,0.778,11.69,adv,l2,224,3095.399811,0.458069204,0.093576064
resnet18_l2_eps0.1,68.77,0.7764,11.69,adv,l2,224,3045.994386,0.466350472,0.092585203
resnet18_l2_eps0.25,67.43,0.7585,11.69,adv,l2,224,3058.070432,0.465952716,0.091909521
resnet18_l2_eps0.5,65.49,0.7395,11.69,adv,l2,224,3018.191317,0.46486812,0.092078114
resnet18_l2_eps1,62.32,0.703,11.69,adv,l2,224,2995.522709,0.447475174,0.091092018
resnet18_l2_eps3,53.12,0.6055,11.69,adv,l2,224,3039.680169,0.404340839,0.090150362
resnet18_l2_eps5,45.59,0.5197,11.69,adv,l2,224,3039.617478,0.37174553,0.090698571
