model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.2,0.904440399874702,0.5558867624462118,0.1446858843788923
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.2,0.904440399874702,0.6125108434066107,0.1573638560464843
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.2,0.904440399874702,0.5789003559475023,0.1285804641725761
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.2,0.904440399874702,0.6148912749908262,0.1589234707781718
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5148994118744472,0.1410307888750363
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5679030642882618,0.154492208331253
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5636834822571071,0.1291357365064102
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5425569102759619,0.1391225397687224
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5474863293869092,0.1374349960977471
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.blocks.1.norm2,0.904440399874702,0.6463140811640092,0.1388048641801606
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.blocks.1.norm2,0.904440399874702,0.6499790737439542,0.1376951619223815
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.downsample.conv,0.904440399874702,0.6564793901498542,0.1304115866365471
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.downsample.conv,0.904440399874702,0.664656860545933,0.1387056241167918
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.blocks.1.norm2,0.904440399874702,0.6440223987446673,0.1540281867007267
caformer_s36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.blocks.1.norm2,0.904440399874702,0.6584016860305112,0.1425737510542838
cait_s24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.18,0.904440399874702,0.6437409066934611,0.1777741481359591
cait_xxs24_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.18.norm2,0.904440399874702,0.6402628824465756,0.1826585524082796
cait_xxs36_224.fb_dist_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.23.norm2,0.904440399874702,0.6447645516368066,0.1666531276598056
coat_lite_medium.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,serial_blocks3.4.norm2,0.904440399874702,0.628414929296248,0.1525619424813406
coat_lite_mini.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,cpe4.proj,0.904440399874702,0.4245068177766181,0.2196724607564762
coat_lite_small.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,serial_blocks3.4,0.904440399874702,0.5918374081480026,0.1443152069874382
coat_lite_tiny.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,serial_blocks3.0.factoratt_crpe,0.904440399874702,0.5256039093274525,0.1048504538114662
