model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.4.drop_path2,0.6868060945212843,0.290698476471239,0.240336375771688
beitv2_base_patch16_224.in1k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.6.attn,0.6868060945212843,0.3347292711980523,0.3031714712352669
beitv2_base_patch16_224.in1k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.6.attn,0.6868060945212843,0.3250952163846534,0.3183638096832238
beit_base_patch16_384.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.4.attn.proj_drop,0.6868060945212843,0.3317887993903325,0.3244428821260524
beit_large_patch16_224.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.9.mlp.act,0.6868060945212843,0.2428234144838691,0.2320605338524199
beit_large_patch16_384.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.9.mlp.act,0.6868060945212843,0.2521911589174498,0.2216300807908309
beit_large_patch16_512.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.8.norm2,0.6868060945212843,0.2583934412027149,0.2529000803557293
beitv2_large_patch16_224.in1k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.9.mlp.act,0.6868060945212843,0.2673880503892298,0.2089294200178487
beitv2_large_patch16_224.in1k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,blocks.9.mlp.act,0.6868060945212843,0.2858309187498289,0.2431806326109125
caformer_m36.sail_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,stages.2.blocks.0.token_mixer,0.6868060945212843,0.3798239021634085,0.2718365339297627
caformer_m36.sail_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,stages.2.blocks.7.layer_scale1,0.6868060945212843,0.3735473673325625,0.3513278084890942
caformer_s18.sail_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,stages.2.blocks.4.norm2,0.6868060945212843,0.3255747044768444,0.3067666051862646
caformer_s18.sail_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",91,130,stages.2.blocks.3.token_mixer,0.6868060945212843,0.3714134825166938,0.3494600618017461
