model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
beit_base_patch16_224.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.6.attn,0.775977390946094,0.28372049664281807,0.16742311367808813
beitv2_base_patch16_224.in1k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.6.attn,0.775977390946094,0.30072908866302317,0.2237188370382716
beitv2_base_patch16_224.in1k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.8.norm2,0.775977390946094,0.27439422882613806,0.21423121975952722
beit_base_patch16_384.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.9.norm1,0.775977390946094,0.28581816821983624,0.22788823914950382
beit_large_patch16_224.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.9.mlp.act,0.775977390946094,0.22513159820964354,0.18191972236477494
beit_large_patch16_384.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.12,0.775977390946094,0.22709550355608754,0.19404932589655
beit_large_patch16_512.in22k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.12.mlp.fc1,0.775977390946094,0.2278289098979204,0.17046090653768767
beitv2_large_patch16_224.in1k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.9.mlp.act,0.775977390946094,0.22797799393715565,0.1520950675872466
beitv2_large_patch16_224.in1k_ft_in22k_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.9.mlp.act,0.775977390946094,0.23510336863909945,0.15696428314085636
caformer_m36.sail_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,stages.2.blocks.0.token_mixer,0.775977390946094,0.30226222813126463,0.1933041855046453
caformer_m36.sail_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,stages.2.blocks.3.token_mixer.proj_drop,0.775977390946094,0.29895515534365075,0.22243663213242212
caformer_s18.sail_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,stages.2.blocks.5.layer_scale1,0.775977390946094,0.2902624120266816,0.2522235127631532
caformer_s18.sail_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,stages.2.blocks.5.layer_scale1,0.775977390946094,0.2972043040639053,0.21087422814355236
caformer_s36.sail_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,stages.2.blocks.11.norm2,0.775977390946094,0.2858401267674947,0.2474607802897343
caformer_s36.sail_in22k_ft_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,stages.2.blocks.16.norm2,0.775977390946094,0.2875508534359923,0.24079796755310226
cait_s24_224.fb_dist_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",211,250,blocks.18,0.775977390946094,0.27163879380521194,0.20655322407630722
