model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std,new_brain_score,new_brain_score_std,new_ceiling_score
beit_base_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.2,0.904440399874702,0.5558867624462118,0.1446858843788923,0.549819818767731,0.12943155675961462,0.9144203765493888
beitv2_base_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.2,0.904440399874702,0.6125108434066107,0.1573638560464843,0.6058259049614967,0.14077288156496734,0.9144203765493888
beitv2_base_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.2,0.904440399874702,0.5789003559475023,0.1285804641725761,0.5725822420936474,0.11502414156137457,0.9144203765493888
beit_base_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.2,0.904440399874702,0.6148912749908262,0.1589234707781718,0.6081803565344444,0.14216806509329907,0.9144203765493888
beit_large_patch16_224.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5148994118744472,0.1410307888750363,0.5092798038122253,0.12616182037033238,0.9144203765493888
beit_large_patch16_384.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5679030642882618,0.154492208331253,0.5617049747876021,0.13820399355047208,0.9144203765493888
beit_large_patch16_512.in22k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5636834822571071,0.1291357365064102,0.5575314452409806,0.11552087116911905,0.9144203765493888
beitv2_large_patch16_224.in1k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5425569102759619,0.1391225397687224,0.536635448497434,0.1244547592179911,0.9144203765493888
beitv2_large_patch16_224.in1k_ft_in22k_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,blocks.9.mlp.act,0.904440399874702,0.5474863293869092,0.1374349960977471,0.5415110679676378,0.1229451343822871,0.9144203765493888
caformer_m36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.blocks.1.norm2,0.904440399874702,0.6463140811640092,0.1388048641801606,0.6392602144524224,0.12417057637494051,0.9144203765493888
caformer_m36.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.blocks.1.norm2,0.904440399874702,0.6499790737439542,0.1376951619223815,0.6428852073326683,0.12317787075351387,0.9144203765493888
caformer_s18.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.downsample.conv,0.904440399874702,0.6564793901498542,0.1304115866365471,0.6493145793373141,0.11666220758382508,0.9144203765493888
caformer_s18.sail_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.downsample.conv,0.904440399874702,0.664656860545933,0.1387056241167918,0.6574028008869063,0.12408179925649605,0.9144203765493888
caformer_s36.sail_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",211,250,stages.2.blocks.1.norm2,0.904440399874702,0.6440223987446673,0.1540281867007267,0.6369935434366727,0.13778889402457864,0.9144203765493888
